User,Create user (s),Login 1 (s),Login 2 (s),Get Events 1 (s),Get Events 2 (s),Total 1 (s),Total 2 (s),Total 1 – Total 2 (s)
mcollection1.pryv.li,1.372,1.62,0.402,1.914,0.261,4.906,2.035,2.871
mcollection2.pryv.li,0.985,1.383,0.386,1.677,0.233,4.045,1.604,2.441
mcollection3.pryv.li,0.958,1.23,0.386,1.788,0.236,3.976,1.58,2.396
mcollection4.pryv.li,1.005,1.005,0.437,2.042,0.231,4.052,1.673,2.379
mcollection5.pryv.li,1.047,0.946,0.392,1.953,0.218,3.946,1.657,2.289
mcollection6.pryv.li,1.367,1.064,0.505,1.976,0.209,4.407,2.081,2.326
mcollection7.pryv.li,0.986,1.016,0.384,1.742,0.229,3.744,1.599,2.145
mcollection8.pryv.li,1.067,1.169,0.431,1.661,0.245,3.897,1.743,2.154
mcollection9.pryv.li,0.984,1.067,0.371,1.677,0.235,3.728,1.59,2.138
mcollection10.pryv.li,0.916,0.991,0.379,1.781,0.209,3.688,1.504,2.184
Mean amon all users (s),1.0687,1.1491,0.4073,1.8211,0.2306,4.0389,1.7066,2.3323
